codigo_cnes,nome_fantasia,nome_razao_social,codigo_tipo_unidade,bairro_estabelecimento,endereco_estabelecimento,numero_telefone_estabelecimento,descricao_turno_atendimento,descricao_esfera_administrativa,estabelecimento_faz_atendimento_ambulatorial_sus,estabelecimento_possui_atendimento_hospitalar,latitude_estabelecimento_decimo_grau,longitude_estabelecimento_decimo_grau,descricao_tipo_unidade,distrito
6004245,ODONTO BRUG,CLINICA ODONTOLOGICA BRUGNARA LTDA,22,CENTRO,RUA PRESIDENTE VARGAS,,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,MUNICIPAL,NAO,0.0,-20.1424636,-44.2061455,CONSULTORIO ISOLADO,Brumadinho
6317928,UNIDADE DE SAUDE DA FAMILIA MARINHOS,PREFEITURA MUNICIPAL DE BRUMADINHO,2,MARINHOS,RUA HUM,35472773,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,MUNICIPAL,SIM,0.0,-20.0955764,-44.1341595,CENTRO DE SAUDE/UNIDADE BASICA,fora dos limites do municipio
6809405,SAUDE EM MOVIMENTO,CLINICA FISIO SAUDE EM MOVIMENTO LTDA,39,CENTRO,RUA DR VICTOR DE FREITAS,,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,MUNICIPAL,NAO,0.0,-20.14258000583365,-44.19995069503784,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),Brumadinho
6826792,LEONARDO ALEXANDRE SILVA DE ASSIS,LEONARDO ALEXANDRE SILVA DE ASSIS,22,CENTRO,RUA JOAO FERNANDES DO CARMO,31-35713050,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,MUNICIPAL,NAO,0.0,-20.14397002471504,-44.1995644569397,CONSULTORIO ISOLADO,Brumadinho
6859593,CLINICA ODONTOLOGICA DANIELLA FRICHE,DANIELLA FRICHE SALLES CLINICA ODONTOLOGICA ME,22,CENTRO,RUA QUINTINO BOCAIUVA,31-35712115,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,MUNICIPAL,NAO,0.0,-20.14145186547448,-44.20342683792114,CONSULTORIO ISOLADO,Brumadinho
6993583,CONSULTORIO OFTALMOLOGICO E CLINICA MEDICA GIZELE HORTA DE O,GIZELI HORTA DE OLIVEIRA,22,JOTA,RUA RIO PARAOPEBA,,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,MUNICIPAL,NAO,0.0,-20.143849153999007,-44.200358390808105,CONSULTORIO ISOLADO,Brumadinho
7034520,CONSULTORIO ODONTOLOGICO ANA MARINA MURTA MACIEL PASSOS,ANA MARINA MURTA MACIEL PASSOS,22,CENTRO,RUA QUINTINO BOCAIUVA,35711124,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,MUNICIPAL,NAO,0.0,-20.14145186547448,-44.20321226119995,CONSULTORIO ISOLADO,Brumadinho
7076886,UPA UNIDADE DE PRONTO ATENDIMENTO DE BRUMADINHO,PREFEITURA MUNICIPAL DE BRUMADINHO,73,KM30,MG 040,,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",MUNICIPAL,SIM,0.0,-20.1335868,-44.2004536,PRONTO ATENDIMENTO,Brumadinho
7127375,MARIA CANDIDA VIANNA DA COSTA E SILVA,MARIA CANDIDA VIANNA DA COSTA E SILVA,22,SILVA PRADO,RUA REYNALDO PINTO VIEIRA,,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,MUNICIPAL,NAO,0.0,-20.14725364337981,-44.202117919921875,CONSULTORIO ISOLADO,Brumadinho
7254296,CLIPSI BRUM,CLINICA DE PSICOLOGIA LIDIANA DE ASSUNCAO PEDRA,22,CENTRO,RUA PRESIDENTE VARGAS,92501295,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,MUNICIPAL,NAO,0.0,-20.144775827098254,-44.20119524002075,CONSULTORIO ISOLADO,Brumadinho
