Código IBGE,Nível Regional,Ano,Indicador,Sexo e Raça/Cor,Classe CNAE (5 dígitos),Valor,Grupo CNAE (3 dígitos),Divisão CNAE (2 dígitos),Seção CNAE (1 dígito)
310900,Município,2024,Número de Empregos,Homem - BrAm,93123,1,931,93,R
310900,Município,2024,Número de Empregos,Homem - BrAm,93131,1,931,93,R
310900,Município,2024,Número de Empregos,Homem - BrAm,94308,22,943,94,S
310900,Município,2024,Número de Empregos,Homem - BrAm,94910,3,949,94,S
310900,Município,2024,Número de Empregos,Homem - BrAm,94995,17,949,94,S
310900,Município,2024,Número de Empregos,Homem - PPI,01113,1,011,01,A
310900,Município,2024,Número de Empregos,Homem - PPI,01199,11,011,01,A
310900,Município,2024,Número de Empregos,Homem - PPI,01211,3,012,01,A
310900,Município,2024,Número de Empregos,Homem - PPI,01318,3,013,01,A
310900,Município,2024,Número de Empregos,Homem - PPI,01393,2,013,01,A
310900,Município,2024,Número de Empregos,Homem - PPI,01512,36,015,01,A
310900,Município,2024,Número de Empregos,Homem - PPI,01521,12,015,01,A
310900,Município,2024,Número de Empregos,Homem - PPI,01547,15,015,01,A
310900,Município,2024,Número de Empregos,Homem - PPI,01555,1,015,01,A
310900,Município,2024,Número de Empregos,Homem - PPI,01598,1,015,01,A
310900,Município,2024,Número de Empregos,Homem - PPI,01610,10,016,01,A
310900,Município,2024,Número de Empregos,Homem - PPI,01628,10,016,01,A
310900,Município,2024,Número de Empregos,Homem - PPI,02306,31,023,02,A
310900,Município,2024,Número de Empregos,Homem - PPI,07103,1323,071,07,B
310900,Município,2024,Número de Empregos,Homem - PPI,08100,19,081,08,B
310900,Município,2024,Número de Empregos,Homem - PPI,09904,10,099,09,B
310900,Município,2024,Número de Empregos,Homem - PPI,10121,33,101,10,C
310900,Município,2024,Número de Empregos,Homem - PPI,10139,1,101,10,C
310900,Município,2024,Número de Empregos,Homem - PPI,10520,1,105,10,C
310900,Município,2024,Número de Empregos,Homem - PPI,10538,3,105,10,C
310900,Município,2024,Número de Empregos,Homem - PPI,10911,14,109,10,C
310900,Município,2024,Número de Empregos,Homem - PPI,10945,3,109,10,C
310900,Município,2024,Número de Empregos,Homem - PPI,11119,1,111,11,C
310900,Município,2024,Número de Empregos,Homem - PPI,11216,54,112,11,C
310900,Município,2024,Número de Empregos,Homem - PPI,14126,1,141,14,C
310900,Município,2024,Número de Empregos,Homem - PPI,14134,8,141,14,C
310900,Município,2024,Número de Empregos,Homem - PPI,18300,1,183,18,C
310900,Município,2024,Número de Empregos,Homem - PPI,20991,3,209,20,C
310900,Município,2024,Número de Empregos,Homem - PPI,23303,10,233,23,C
310900,Município,2024,Número de Empregos,Homem - PPI,23915,4,239,23,C
