Código IBGE,Nível Regional,Ano,Indicador,Sexo e Raça/Cor,Classe CNAE (5 dígitos),Valor,Grupo CNAE (3 dígitos),Divisão CNAE (2 dígitos),Seção CNAE (1 dígito),Desvio Padrão
310900,Município,2024,Média do Salário Real,Homem - BrAm,25128,3593.5950000000003,251,25,C,784.0046436405848
310900,Município,2024,Média do Salário Real,Homem - BrAm,38114,2544.755,381,38,E,112.62089703958141
310900,Município,2024,Média do Salário Real,Homem - BrAm,41107,2064.3900000000003,411,41,F,24.975011511508974
310900,Município,2024,Média do Salário Real,Homem - BrAm,41204,3364.965806451612,412,41,F,3051.775447578862
310900,Município,2024,Média do Salário Real,Homem - BrAm,42111,4154.478416666666,421,42,F,3552.088473822669
310900,Município,2024,Média do Salário Real,Homem - BrAm,42120,4383.849523809524,421,42,F,2714.0508547104937
310900,Município,2024,Média do Salário Real,Homem - BrAm,42138,8156.7,421,42,F,6387.578397170558
310900,Município,2024,Média do Salário Real,Homem - BrAm,42995,3550.0049999999997,429,42,F,2820.5348182843877
310900,Município,2024,Média do Salário Real,Homem - BrAm,43291,9121.660000000002,432,43,F,6167.510169165511
310900,Município,2024,Média do Salário Real,Homem - BrAm,43304,2446.37,433,43,F,652.4235648717787
310900,Município,2024,Média do Salário Real,Homem - BrAm,43991,2544.8786111111112,439,43,F,1329.2355357533309
310900,Município,2024,Média do Salário Real,Homem - BrAm,45111,2337.5,451,45,G,229.80970388562795
310900,Município,2024,Média do Salário Real,Homem - BrAm,45200,1700.355,452,45,G,141.92340205195197
310900,Município,2024,Média do Salário Real,Homem - BrAm,45307,2711.88,453,45,G,1459.5280767230404
310900,Município,2024,Média do Salário Real,Homem - BrAm,46371,2527.4166666666665,463,46,G,1394.8684748869096
310900,Município,2024,Média do Salário Real,Homem - BrAm,46494,2027.65,464,46,G,NA
310900,Município,2024,Média do Salário Real,Homem - BrAm,46711,1178.67,467,46,G,NA
310900,Município,2024,Média do Salário Real,Homem - BrAm,46893,3810.5899999999997,468,46,G,1425.0399573445552
310900,Município,2024,Média do Salário Real,Homem - BrAm,46915,3240.111666666667,469,46,G,885.31154603149
310900,Município,2024,Média do Salário Real,Homem - BrAm,47113,2899.993255813954,471,47,G,1213.6594784541207
310900,Município,2024,Média do Salário Real,Homem - BrAm,47121,1575.18,471,47,G,828.1282010051343
310900,Município,2024,Média do Salário Real,Homem - BrAm,47130,2408.6133333333332,471,47,G,897.4516846233747
310900,Município,2024,Média do Salário Real,Homem - BrAm,47211,2042.128,472,47,G,712.1064040717511
310900,Município,2024,Média do Salário Real,Homem - BrAm,47229,2911.2,472,47,G,2285.708686600285
310900,Município,2024,Média do Salário Real,Homem - BrAm,47237,1389.225,472,47,G,32.20871388304721
310900,Município,2024,Média do Salário Real,Homem - BrAm,47245,1598.54,472,47,G,NA
310900,Município,2024,Média do Salário Real,Homem - BrAm,47296,1541.55,472,47,G,NA
310900,Município,2024,Média do Salário Real,Homem - BrAm,47318,2277.605,473,47,G,651.1945128121602
310900,Município,2024,Média do Salário Real,Homem - BrAm,47415,1515,474,47,G,NA
310900,Município,2024,Média do Salário Real,Homem - BrAm,47431,4324.786666666667,474,47,G,1428.0353525502558
310900,Município,2024,Média do Salário Real,Homem - BrAm,47440,1985.0831034482765,474,47,G,611.2448990795251
310900,Município,2024,Média do Salário Real,Homem - BrAm,47512,2043.7,475,47,G,NA
310900,Município,2024,Média do Salário Real,Homem - BrAm,47539,1515,475,47,G,NA
310900,Município,2024,Média do Salário Real,Homem - BrAm,47547,1768.03,475,47,G,386.85439641061623
310900,Município,2024,Média do Salário Real,Homem - BrAm,47610,1459.0666666666666,476,47,G,81.52185800957518
310900,Município,2024,Média do Salário Real,Homem - BrAm,47717,2049.8243749999997,477,47,G,755.643774433154
310900,Município,2024,Média do Salário Real,Homem - BrAm,47725,6238.03,477,47,G,NA
310900,Município,2024,Média do Salário Real,Homem - BrAm,47741,2000,477,47,G,NA
310900,Município,2024,Média do Salário Real,Homem - BrAm,47814,1953.4433333333334,478,47,G,850.1680184724271
310900,Município,2024,Média do Salário Real,Homem - BrAm,47822,2707.505,478,47,G,1686.4567441977279
310900,Município,2024,Média do Salário Real,Homem - BrAm,47849,1835.6,478,47,G,0
310900,Município,2024,Média do Salário Real,Homem - BrAm,47890,2094.235,478,47,G,750.3959737143227
310900,Município,2024,Média do Salário Real,Homem - BrAm,49213,3030.5200000000004,492,49,H,1.7881275122317646
310900,Município,2024,Média do Salário Real,Homem - BrAm,49248,1515.24,492,49,H,NA
310900,Município,2024,Média do Salário Real,Homem - BrAm,49299,3429.544736842105,492,49,H,762.5851688605969
310900,Município,2024,Média do Salário Real,Homem - BrAm,49302,2736.301276595743,493,49,H,1101.661822906633
310900,Município,2024,Média do Salário Real,Homem - BrAm,52125,5384.52,521,52,H,NA
310900,Município,2024,Média do Salário Real,Homem - BrAm,52231,1628.24,522,52,H,NA
310900,Município,2024,Média do Salário Real,Homem - BrAm,52508,5076.434411764706,525,52,H,3849.9674664719014
310900,Município,2024,Média do Salário Real,Homem - BrAm,53105,4444.1475,531,53,H,1129.0293563462674
310900,Município,2024,Média do Salário Real,Homem - BrAm,55108,2923.6,551,55,I,2908.9282204008477
310900,Município,2024,Média do Salário Real,Homem - BrAm,56112,2048.6178787878785,561,56,I,850.4133878949607
310900,Município,2024,Média do Salário Real,Homem - BrAm,56201,1964.828,562,56,I,401.9822411127138
310900,Município,2024,Média do Salário Real,Homem - BrAm,61108,1697.4919999999997,611,61,J,791.4471311907068
310900,Município,2024,Média do Salário Real,Homem - BrAm,64221,9341.773000000001,642,64,K,5551.445009172637
310900,Município,2024,Média do Salário Real,Homem - BrAm,64239,25882.13333333333,642,64,K,1710.9192170974452
310900,Município,2024,Média do Salário Real,Homem - BrAm,64247,5523.843333333333,642,64,K,5164.082181323867
310900,Município,2024,Média do Salário Real,Homem - BrAm,68102,2050,681,68,L,NA
310900,Município,2024,Média do Salário Real,Homem - BrAm,68218,2300,682,68,L,707.1067811865476
310900,Município,2024,Média do Salário Real,Homem - BrAm,69125,3716.4285714285716,691,69,M,3105.434368819863
310900,Município,2024,Média do Salário Real,Homem - BrAm,69206,2372.6125,692,69,M,1049.5599305859894
310900,Município,2024,Média do Salário Real,Homem - BrAm,70204,3830.72,702,70,M,NA
310900,Município,2024,Média do Salário Real,Homem - BrAm,71120,1973.2357142857143,711,71,M,751.0942426632657
310900,Município,2024,Média do Salário Real,Homem - BrAm,71197,2648.6549999999997,711,71,M,1224.093762115468
310900,Município,2024,Média do Salário Real,Homem - BrAm,73190,2857.296666666667,731,73,M,707.0000456388481
310900,Município,2024,Média do Salário Real,Homem - BrAm,74901,4866.61,749,74,M,5139.292234958039
310900,Município,2024,Média do Salário Real,Homem - BrAm,75001,1902.7,750,75,M,693.9545950564778
310900,Município,2024,Média do Salário Real,Homem - BrAm,77195,2870.1639999999998,771,77,N,1386.9767374509206
310900,Município,2024,Média do Salário Real,Homem - BrAm,77322,2109.7025,773,77,N,261.79232359193935
310900,Município,2024,Média do Salário Real,Homem - BrAm,81125,2931.0596103896087,811,81,N,1133.0253414948772
310900,Município,2024,Média do Salário Real,Homem - BrAm,82113,2113.3766666666666,821,82,N,746.7879355167257
310900,Município,2024,Média do Salário Real,Homem - BrAm,82997,1859.15,829,82,N,237.3898411895505
310900,Município,2024,Média do Salário Real,Homem - BrAm,84116,5104.483709198811,841,84,O,2836.941848564594
310900,Município,2024,Média do Salário Real,Homem - BrAm,85139,2485.908333333333,851,85,P,1177.2166298429477
310900,Município,2024,Média do Salário Real,Homem - BrAm,85201,1297,852,85,P,512.5891554451771
310900,Município,2024,Média do Salário Real,Homem - BrAm,85333,3256.75142857143,853,85,P,4099.269277352041
310900,Município,2024,Média do Salário Real,Homem - BrAm,85996,2114.866,859,85,P,370.2502893719328
310900,Município,2024,Média do Salário Real,Homem - BrAm,86101,3289.582857142857,861,86,Q,1038.3197195797313
310900,Município,2024,Média do Salário Real,Homem - BrAm,86305,2493.47,863,86,Q,404.03136994545366
